Item No,Name,kW,Poles,Inertia PN,Inertia Size,Standard Spring PN,Standard Spring,50mm Static Spring PN,50mm Spring,Qty Springs,Pump List,Pump Nett,IP-56 List,IP-56 Nett,IP-66 List,IP-66 Nett,Inertia Nett,Crossbar Nett,Standard Spring Nett,50mm Spring Nett
99796421,NBG 65-40-250/255,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,8969,4484.5,,,,,663.42,284.76,153.3,668.94
99801091,NBG 80-50-250/233,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9251,4625.5,,,,,663.42,284.76,153.3,668.94
99801301,NBG 80-50-315/344,11,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9499,4749.5,,,,,663.42,284.76,153.3,668.94
99801318,NBG 100-65-315/320,15,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9411,4705.5,,,,,663.42,284.76,153.3,668.94
99801355,NBG 125-100-250/274,15,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10577,5288.5,1318,659,,,663.42,284.76,153.3,668.94
99801354,NBG 125-100-250/245,11,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9914,4957,,,,,663.42,284.76,153.3,668.94
99801317,NBG 100-65-315/314,11,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,8987,4493.5,466.74,233.37,,,663.42,284.76,153.3,668.94
99801124,NBG 125-80-200/171,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9014,4507,,,,,663.42,284.76,153.3,668.94
99801136,NBG 125-100-160/167,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,12900,6450,,,,,663.42,284.76,153.3,668.94
99801367,NBG 150-125-200/226,15,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9661,4830.5,,,,,663.42,284.76,153.3,668.94
99801352,NBG 125-100-200/219,11,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,8423,4211.5,,,,,741.99,284.76,153.3,668.94
99801339,NBG 125-80-315/305,15,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10906,5453,,,,,663.42,284.76,153.3,668.94
99801366,NBG 150-125-200/219,11,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9140,4570,,,,,663.42,284.76,153.3,668.94
99801369,NBG 150-125-250/236,15,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10063,5031.5,,,,,663.42,284.76,153.3,668.94
99801338,NBG 125-80-315/280,11,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10427,5213.5,,,,,663.42,284.76,153.3,668.94
99801337,NBG 125-80-250/270,11,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,8662,4331,,,,,610.6,284.76,135.26,$288.61
99801368,NBG 150-125-250/220,11,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9652,4826,,,,,663.42,284.76,153.3,668.94
99801356,NBG 125-100-315/279,15,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,11583,5791.5,,,,,663.42,284.76,153.3,668.94
99796423,NBG 65-40-315/273,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10634,5317,,,,,663.42,284.76,153.3,668.94
99817787,NBG 100-65-200/217,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10638,5319,,,,,741.99,284.76,153.3,668.94
99796422,NBG 65-40-250/260,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10047,5023.5,,,,,741.99,284.76,153.3,668.94
99801123,NBG 125-80-160/177,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,12515,6257.5,,,,,741.99,284.76,153.3,668.94
99801385,NBG 200-150-250/226-214,15,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,13406,6703,,,,,741.99,284.76,153.3,668.94
99801340,NBG 125-80-315/320,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11729,5864.5,,,,,741.99,284.76,153.3,668.94
99801092,NBG 80-50-250/254,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10657,5328.5,,,,,741.99,284.76,153.3,668.94
99801107,NBG 100-65-200/219,37,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10863,5431.5,,,,,741.99,284.76,153.3,668.94
99801125,NBG 125-80-200/188,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10460,5230,,,,,741.99,284.76,153.3,668.94
99801357,NBG 125-100-315/295,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,12333,6166.5,,,,,741.99,284.76,153.3,668.94
99801370,NBG 150-125-250/249,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11121,5560.5,,,,,741.99,284.76,153.3,668.94
99801137,NBG 125-100-160/176,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,14073,7036.5,,,,,741.99,284.76,153.3,668.94
99801093,NBG 80-50-250/263,37,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11243,5621.5,,,,,741.99,284.76,153.3,668.94
99801138,NBG 125-100-200/170,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11060,5530,,,,,741.99,284.76,153.3,668.94
99801108,NBG 100-65-250/223,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10714,5357,,,,,741.99,284.76,153.3,668.94
99801126,NBG 125-80-200/200,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11619,5809.5,,,,,741.99,284.76,153.3,668.94
99796424,NBG 65-40-315/298,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11628,5814,,,,,741.99,284.76,153.3,668.94
99801139,NBG 125-100-200/181,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11345,5672.5,,,,,741.99,284.76,153.3,668.94
99801094,NBG 80-50-315/267,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10671,5335.5,,,,,741.99,284.76,153.3,668.94
99801109,NBG 100-65-250/238,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11440,5720,,,,,741.99,284.76,153.3,668.94
99801342,NBG 125-80-400/347,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,15647,7823.5,,,,,741.99,284.76,153.3,668.94
99801386,NBG 200-150-250/230,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,14297,7148.5,,,,,741.99,284.76,153.3,668.94
99801373,NBG 150-125-315/275,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,12121,6060.5,,,,,741.99,284.76,153.3,668.94
99796425,NBG 65-40-315/318,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,12524,6262,,,,,741.99,284.76,153.3,668.94
99801384,NBG 200-150-200/218-208,11,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,10488,5244,,,,,741.99,284.76,153.3,668.94
99801095,NBG 80-50-315/285,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11632,5816,,,,,741.99,284.76,153.3,668.94
99801341,NBG 125-80-315/334,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,12312,6156,1166,583,,,741.99,284.76,153.3,668.94
99801358,NBG 125-100-315/312,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,12840,6420,,,,,741.99,284.76,153.3,668.94
99801371,NBG 150-125-250/262,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,11564,5782,946,473,,,741.99,284.76,153.3,668.94
99801343,NBG 125-80-400/365,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,16034,8017,,,,,741.99,284.76,153.3,668.94
99801387,NBG 200-150-250/242,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,0,CDM-53,4,14844,7422,,,,,741.99,284.76,153.3,668.94
