Item No,Name,Base,Rubber Mount,Qty of Mounts,Pump List,Pump Nett,IP-56 Nett,IP-66 Nett,Base Nett,Rubber Mount Nett
96501902,CR 15-12,,,," $8,579.00 "," $4,289.50 ",,,, $11.83 
96501903,CR 15-14,,,," $9,025.00 "," $4,512.50 ",,,, $11.83 
96501904,CR 15-17,,,," $11,540.00 "," $5,770.00 ",,,, $11.83 
96509508,CR 3-5,,,," $1,505.00 ", $752.50 ,,,, $11.83 
96511750,CR 5-8,,,," $2,071.00 "," $1,035.50 ",,,, $11.83 
96513381,CR 5-22,,,," $3,618.00 "," $1,809.00 ",,,, $11.83 
96513390,CR 5-24,,,," $3,770.00 "," $1,885.00 ",,,, $11.83 
96513391,CR 5-26,,,," $3,928.00 "," $1,964.00 ",,,, $11.83 
96513392,CR 5-29,,,," $4,156.00 "," $2,078.00 ",,,, $11.83 
96513393,CR 5-32,,,," $4,727.00 "," $2,363.50 ",,,, $11.83 
96513394,CR 5-36,,,," $5,028.00 "," $2,514.00 ",,,, $11.83 
96515537,CR 1S-2,,,," $1,238.00 ", $619.00 ,,,, $11.83 
96515549,CR 1S-3,,,," $1,285.00 ", $642.50 ,,,, $11.83 
96515551,CR 1S-4,,,," $1,334.00 ", $667.00 ,,,, $11.83 
96515552,CR 1S-5,,,," $1,380.00 ", $690.00 ,,,, $11.83 
96515553,CR 1S-6,,,," $1,428.00 ", $714.00 ,,,, $11.83 
96515555,CR 1S-7,,,," $1,475.00 ", $737.50 ,,,, $11.83 
96515557,CR 1S-8,,,," $1,523.00 ", $761.50 ,,,, $11.83 
96515558,CR 1S-9,,,," $1,571.00 ", $785.50 ,,,, $11.83 
96515560,CR 1S-10,,,," $1,618.00 ", $809.00 ,,,, $11.83 
96515561,CR 1S-11,,,," $1,666.00 ", $833.00 ,,,, $11.83 
96515562,CR 1S-12,,,," $1,712.00 ", $856.00 ,,,, $11.83 
96515563,CR 1S-13,,,," $1,759.00 ", $879.50 ,,,, $11.83 
96515564,CR 1S-15,,,," $1,833.00 ", $916.50 ,,,, $11.83 
